sample_id,text
sub-01::stimulus_668,This brain response shows valence 3.56 and arousal 5.11.
sub-01::stimulus_669,This brain response shows valence 5.78 and arousal 6.11.
sub-01::stimulus_670,This brain response shows valence 7.11 and arousal 5.78.
sub-01::stimulus_671,This brain response shows valence 6.67 and arousal 4.89.
sub-01::stimulus_672,This brain response shows valence 6.56 and arousal 6.33.
sub-01::stimulus_673,This brain response shows valence 2.67 and arousal 5.00.
sub-01::stimulus_674,This brain response shows valence 1.56 and arousal 6.78.
sub-01::stimulus_675,This brain response shows valence 6.67 and arousal 6.78.
sub-01::stimulus_676,This brain response shows valence 7.33 and arousal 7.44.
sub-01::stimulus_677,This brain response shows valence 4.33 and arousal 6.33.
sub-01::stimulus_678,This brain response shows valence 7.22 and arousal 6.22.
sub-01::stimulus_679,This brain response shows valence 4.00 and arousal 4.56.
sub-01::stimulus_680,This brain response shows valence 7.44 and arousal 5.89.
sub-01::stimulus_681,This brain response shows valence 2.00 and arousal 5.56.
sub-01::stimulus_682,This brain response shows valence 7.78 and arousal 5.67.
sub-01::stimulus_683,This brain response shows valence 7.78 and arousal 6.11.
sub-01::stimulus_684,This brain response shows valence 4.89 and arousal 6.11.
sub-01::stimulus_685,This brain response shows valence 6.56 and arousal 5.89.
sub-01::stimulus_686,This brain response shows valence 5.00 and arousal 6.56.
sub-01::stimulus_687,This brain response shows valence 4.00 and arousal 5.67.
sub-01::stimulus_688,This brain response shows valence 7.67 and arousal 6.56.
sub-01::stimulus_689,This brain response shows valence 6.44 and arousal 5.44.
sub-01::stimulus_690,This brain response shows valence 2.78 and arousal 6.78.
sub-01::stimulus_691,This brain response shows valence 6.33 and arousal 4.67.
sub-01::stimulus_692,This brain response shows valence 3.78 and arousal 4.11.
sub-01::stimulus_693,This brain response shows valence 3.56 and arousal 4.00.
sub-01::stimulus_694,This brain response shows valence 3.78 and arousal 4.78.
sub-01::stimulus_695,This brain response shows valence 3.89 and arousal 3.56.
sub-01::stimulus_696,This brain response shows valence 4.44 and arousal 4.44.
sub-01::stimulus_697,This brain response shows valence 4.78 and arousal 5.11.
sub-01::stimulus_698,This brain response shows valence 3.56 and arousal 6.78.
sub-01::stimulus_699,This brain response shows valence 1.33 and arousal 5.89.
sub-01::stimulus_700,This brain response shows valence 3.67 and arousal 5.00.
sub-01::stimulus_701,This brain response shows valence 6.00 and arousal 7.89.
sub-01::stimulus_702,This brain response shows valence 7.56 and arousal 5.56.
sub-01::stimulus_703,This brain response shows valence 4.00 and arousal 4.11.
sub-01::stimulus_704,This brain response shows valence 5.78 and arousal 4.00.
sub-01::stimulus_705,This brain response shows valence 6.33 and arousal 5.78.
sub-01::stimulus_706,This brain response shows valence 2.33 and arousal 6.56.
sub-01::stimulus_707,This brain response shows valence 2.78 and arousal 3.78.
sub-01::stimulus_708,This brain response shows valence 7.67 and arousal 5.89.
sub-01::stimulus_709,This brain response shows valence 6.56 and arousal 7.56.
sub-01::stimulus_710,This brain response shows valence 5.78 and arousal 3.22.
sub-01::stimulus_711,This brain response shows valence 6.56 and arousal 5.78.
sub-01::stimulus_712,This brain response shows valence 6.78 and arousal 6.78.
sub-01::stimulus_713,This brain response shows valence 1.78 and arousal 4.00.
sub-01::stimulus_714,This brain response shows valence 6.00 and arousal 5.56.
sub-01::stimulus_715,This brain response shows valence 7.11 and arousal 4.89.
sub-01::stimulus_716,This brain response shows valence 4.89 and arousal 4.78.
sub-01::stimulus_717,This brain response shows valence 1.67 and arousal 5.67.
sub-01::stimulus_718,This brain response shows valence 5.89 and arousal 3.00.
sub-01::stimulus_719,This brain response shows valence 3.33 and arousal 7.00.
sub-01::stimulus_720,This brain response shows valence 3.00 and arousal 5.33.
sub-01::stimulus_721,This brain response shows valence 6.11 and arousal 6.00.
sub-01::stimulus_722,This brain response shows valence 4.00 and arousal 6.22.
sub-01::stimulus_723,This brain response shows valence 4.22 and arousal 5.11.
sub-01::stimulus_724,This brain response shows valence 2.67 and arousal 5.89.
sub-01::stimulus_725,This brain response shows valence 6.78 and arousal 5.78.
sub-01::stimulus_726,This brain response shows valence 5.33 and arousal 4.00.
sub-01::stimulus_727,This brain response shows valence 2.00 and arousal 5.67.
sub-01::stimulus_728,This brain response shows valence 5.67 and arousal 4.44.
sub-01::stimulus_729,This brain response shows valence 4.56 and arousal 4.22.
sub-01::stimulus_730,This brain response shows valence 2.56 and arousal 6.22.
sub-01::stimulus_731,This brain response shows valence 5.11 and arousal 6.11.
sub-01::stimulus_732,This brain response shows valence 6.22 and arousal 6.67.
sub-01::stimulus_733,This brain response shows valence 3.89 and arousal 5.56.
sub-01::stimulus_734,This brain response shows valence 5.56 and arousal 6.00.
sub-01::stimulus_735,This brain response shows valence 5.56 and arousal 5.00.
sub-01::stimulus_736,This brain response shows valence 2.78 and arousal 6.00.
sub-01::stimulus_737,This brain response shows valence 5.67 and arousal 5.22.
sub-01::stimulus_738,This brain response shows valence 5.22 and arousal 6.11.
sub-01::stimulus_739,This brain response shows valence 7.44 and arousal 6.33.
sub-01::stimulus_740,This brain response shows valence 5.22 and arousal 4.22.
sub-01::stimulus_741,This brain response shows valence 5.22 and arousal 5.22.
sub-01::stimulus_742,This brain response shows valence 5.89 and arousal 6.11.
sub-01::stimulus_743,This brain response shows valence 7.11 and arousal 5.00.
sub-01::stimulus_744,This brain response shows valence 1.78 and arousal 6.11.
sub-01::stimulus_745,This brain response shows valence 6.89 and arousal 7.00.
sub-01::stimulus_746,This brain response shows valence 1.11 and arousal 5.67.
sub-01::stimulus_747,This brain response shows valence 4.78 and arousal 5.11.
sub-01::stimulus_748,This brain response shows valence 4.00 and arousal 4.89.
sub-01::stimulus_749,This brain response shows valence 8.00 and arousal 8.44.
sub-01::stimulus_750,This brain response shows valence 1.00 and arousal 7.22.
sub-01::stimulus_751,This brain response shows valence 7.89 and arousal 5.44.
sub-01::stimulus_752,This brain response shows valence 5.56 and arousal 4.11.
sub-01::stimulus_753,This brain response shows valence 8.11 and arousal 8.11.
sub-01::stimulus_754,This brain response shows valence 4.56 and arousal 5.89.
sub-01::stimulus_755,This brain response shows valence 5.78 and arousal 6.00.
sub-01::stimulus_756,This brain response shows valence 1.56 and arousal 5.67.
sub-01::stimulus_757,This brain response shows valence 6.89 and arousal 5.56.
sub-01::stimulus_758,This brain response shows valence 3.78 and arousal 3.67.
sub-01::stimulus_759,This brain response shows valence 2.33 and arousal 5.67.
sub-01::stimulus_760,This brain response shows valence 2.44 and arousal 6.11.
sub-01::stimulus_761,This brain response shows valence 5.00 and arousal 6.33.
sub-01::stimulus_762,This brain response shows valence 6.78 and arousal 6.33.
sub-01::stimulus_763,This brain response shows valence 5.78 and arousal 4.00.
sub-01::stimulus_764,This brain response shows valence 4.11 and arousal 6.56.
sub-01::stimulus_765,This brain response shows valence 4.11 and arousal 6.22.
sub-01::stimulus_766,This brain response shows valence 7.11 and arousal 6.22.
sub-01::stimulus_767,This brain response shows valence 2.67 and arousal 5.78.
sub-01::stimulus_768,This brain response shows valence 3.33 and arousal 5.22.
sub-01::stimulus_769,This brain response shows valence 7.33 and arousal 5.33.
sub-01::stimulus_770,This brain response shows valence 4.44 and arousal 5.44.
sub-01::stimulus_771,This brain response shows valence 7.22 and arousal 5.44.
sub-01::stimulus_772,This brain response shows valence 7.67 and arousal 7.33.
sub-01::stimulus_773,This brain response shows valence 7.11 and arousal 5.44.
sub-01::stimulus_774,This brain response shows valence 5.67 and arousal 6.56.
sub-01::stimulus_775,This brain response shows valence 6.78 and arousal 5.89.
sub-01::stimulus_776,This brain response shows valence 1.89 and arousal 6.56.
sub-01::stimulus_777,This brain response shows valence 1.11 and arousal 6.89.
sub-01::stimulus_778,This brain response shows valence 2.44 and arousal 5.67.
sub-01::stimulus_779,This brain response shows valence 7.00 and arousal 4.11.
sub-01::stimulus_780,This brain response shows valence 7.33 and arousal 5.67.
sub-01::stimulus_781,This brain response shows valence 1.67 and arousal 4.56.
sub-01::stimulus_782,This brain response shows valence 4.00 and arousal 6.89.
sub-01::stimulus_783,This brain response shows valence 4.33 and arousal 5.22.
sub-01::stimulus_784,This brain response shows valence 6.33 and arousal 5.78.
sub-01::stimulus_785,This brain response shows valence 6.33 and arousal 7.22.
sub-01::stimulus_786,This brain response shows valence 7.67 and arousal 5.00.
sub-01::stimulus_787,This brain response shows valence 3.89 and arousal 5.67.
sub-01::stimulus_788,This brain response shows valence 7.78 and arousal 6.44.
sub-01::stimulus_789,This brain response shows valence 7.44 and arousal 6.22.
sub-01::stimulus_790,This brain response shows valence 1.22 and arousal 6.56.
sub-01::stimulus_791,This brain response shows valence 4.11 and arousal 4.89.
sub-01::stimulus_792,This brain response shows valence 1.56 and arousal 6.11.
sub-01::stimulus_793,This brain response shows valence 3.78 and arousal 5.11.
sub-01::stimulus_794,This brain response shows valence 6.67 and arousal 5.78.
sub-01::stimulus_795,This brain response shows valence 7.67 and arousal 5.67.
sub-01::stimulus_796,This brain response shows valence 6.33 and arousal 6.56.
sub-01::stimulus_797,This brain response shows valence 4.22 and arousal 5.56.
sub-01::stimulus_798,This brain response shows valence 7.89 and arousal 7.44.
sub-01::stimulus_799,This brain response shows valence 7.33 and arousal 5.89.
sub-01::stimulus_800,This brain response shows valence 7.33 and arousal 5.56.
sub-01::stimulus_801,This brain response shows valence 6.44 and arousal 5.89.
sub-01::stimulus_802,This brain response shows valence 6.44 and arousal 5.89.
sub-01::stimulus_803,This brain response shows valence 3.33 and arousal 4.11.
sub-01::stimulus_804,This brain response shows valence 2.11 and arousal 4.22.
sub-01::stimulus_805,This brain response shows valence 5.33 and arousal 5.78.
sub-01::stimulus_806,This brain response shows valence 4.89 and arousal 4.78.
sub-01::stimulus_807,This brain response shows valence 6.33 and arousal 5.56.
sub-01::stimulus_808,This brain response shows valence 3.11 and arousal 7.00.
sub-01::stimulus_809,This brain response shows valence 3.11 and arousal 4.56.
sub-01::stimulus_810,This brain response shows valence 4.56 and arousal 5.11.
sub-01::stimulus_811,This brain response shows valence 3.00 and arousal 6.00.
sub-01::stimulus_812,This brain response shows valence 5.22 and arousal 5.89.
sub-01::stimulus_813,This brain response shows valence 1.89 and arousal 6.33.
sub-01::stimulus_814,This brain response shows valence 4.56 and arousal 6.00.
sub-01::stimulus_815,This brain response shows valence 5.33 and arousal 3.56.
sub-01::stimulus_816,This brain response shows valence 5.33 and arousal 6.22.
sub-01::stimulus_817,This brain response shows valence 6.11 and arousal 6.44.
sub-01::stimulus_818,This brain response shows valence 5.00 and arousal 5.00.
sub-01::stimulus_819,This brain response shows valence 5.33 and arousal 7.00.
sub-01::stimulus_820,This brain response shows valence 8.44 and arousal 7.22.
sub-01::stimulus_821,This brain response shows valence 2.56 and arousal 4.22.
sub-01::stimulus_822,This brain response shows valence 5.78 and arousal 6.56.
sub-01::stimulus_823,This brain response shows valence 4.78 and arousal 5.56.
sub-01::stimulus_824,This brain response shows valence 4.11 and arousal 5.89.
sub-01::stimulus_825,This brain response shows valence 6.33 and arousal 6.44.
sub-01::stimulus_826,This brain response shows valence 1.78 and arousal 3.89.
sub-01::stimulus_827,This brain response shows valence 3.11 and arousal 6.00.
sub-01::stimulus_828,This brain response shows valence 7.56 and arousal 6.89.
sub-01::stimulus_829,This brain response shows valence 1.78 and arousal 5.67.
sub-01::stimulus_830,This brain response shows valence 7.67 and arousal 6.00.
sub-01::stimulus_831,This brain response shows valence 5.11 and arousal 6.33.
sub-01::stimulus_832,This brain response shows valence 6.78 and arousal 7.22.
sub-01::stimulus_833,This brain response shows valence 5.89 and arousal 6.44.
sub-01::stimulus_834,This brain response shows valence 3.22 and arousal 6.33.
sub-01::stimulus_835,This brain response shows valence 3.67 and arousal 5.89.
sub-01::stimulus_836,This brain response shows valence 1.11 and arousal 4.33.
sub-01::stimulus_837,This brain response shows valence 6.33 and arousal 6.00.
sub-01::stimulus_838,This brain response shows valence 7.33 and arousal 6.44.
sub-01::stimulus_839,This brain response shows valence 2.33 and arousal 5.33.
sub-01::stimulus_840,This brain response shows valence 6.89 and arousal 6.89.
sub-01::stimulus_841,This brain response shows valence 2.11 and arousal 4.89.
sub-01::stimulus_842,This brain response shows valence 7.22 and arousal 7.44.
sub-01::stimulus_843,This brain response shows valence 4.56 and arousal 6.11.
sub-01::stimulus_844,This brain response shows valence 4.56 and arousal 5.89.
sub-01::stimulus_845,This brain response shows valence 3.33 and arousal 7.11.
sub-01::stimulus_846,This brain response shows valence 4.00 and arousal 6.22.
sub-01::stimulus_847,This brain response shows valence 5.67 and arousal 6.33.
sub-01::stimulus_848,This brain response shows valence 7.56 and arousal 5.44.
sub-01::stimulus_849,This brain response shows valence 2.56 and arousal 3.78.
sub-01::stimulus_850,This brain response shows valence 2.89 and arousal 3.22.
sub-01::stimulus_851,This brain response shows valence 6.22 and arousal 6.00.
sub-01::stimulus_852,This brain response shows valence 6.44 and arousal 7.56.
sub-01::stimulus_853,This brain response shows valence 4.44 and arousal 5.67.
sub-01::stimulus_854,This brain response shows valence 4.67 and arousal 5.22.
sub-01::stimulus_855,This brain response shows valence 2.89 and arousal 5.44.
sub-01::stimulus_856,This brain response shows valence 2.33 and arousal 6.00.
sub-01::stimulus_857,This brain response shows valence 2.22 and arousal 4.56.
sub-01::stimulus_858,This brain response shows valence 6.89 and arousal 5.78.
sub-01::stimulus_859,This brain response shows valence 7.22 and arousal 5.78.
sub-01::stimulus_860,This brain response shows valence 3.67 and arousal 5.00.
sub-01::stimulus_861,This brain response shows valence 1.78 and arousal 6.00.
sub-01::stimulus_862,This brain response shows valence 6.67 and arousal 6.11.
sub-01::stimulus_863,This brain response shows valence 3.11 and arousal 4.78.
sub-01::stimulus_864,This brain response shows valence 5.89 and arousal 4.78.
sub-01::stimulus_865,This brain response shows valence 1.78 and arousal 6.00.
sub-01::stimulus_866,This brain response shows valence 1.00 and arousal 7.11.
sub-01::stimulus_867,This brain response shows valence 5.33 and arousal 3.78.
sub-01::stimulus_868,This brain response shows valence 7.22 and arousal 5.33.
sub-01::stimulus_869,This brain response shows valence 2.11 and arousal 7.33.
sub-01::stimulus_870,This brain response shows valence 5.78 and arousal 4.67.
sub-01::stimulus_871,This brain response shows valence 4.67 and arousal 7.11.
sub-01::stimulus_872,This brain response shows valence 4.33 and arousal 4.44.
sub-01::stimulus_873,This brain response shows valence 5.22 and arousal 4.11.
sub-01::stimulus_874,This brain response shows valence 1.89 and arousal 5.44.
sub-01::stimulus_875,This brain response shows valence 6.33 and arousal 6.56.
sub-01::stimulus_876,This brain response shows valence 1.67 and arousal 3.11.
sub-01::stimulus_877,This brain response shows valence 1.89 and arousal 5.11.
sub-01::stimulus_878,This brain response shows valence 6.44 and arousal 5.67.
sub-01::stimulus_879,This brain response shows valence 6.00 and arousal 5.89.
sub-01::stimulus_880,This brain response shows valence 6.78 and arousal 5.00.
sub-01::stimulus_881,This brain response shows valence 5.56 and arousal 5.56.
sub-01::stimulus_882,This brain response shows valence 4.78 and arousal 5.33.
sub-01::stimulus_883,This brain response shows valence 6.67 and arousal 6.00.
sub-01::stimulus_884,This brain response shows valence 7.33 and arousal 5.67.
sub-01::stimulus_885,This brain response shows valence 3.78 and arousal 6.11.
sub-01::stimulus_886,This brain response shows valence 2.78 and arousal 6.11.
sub-01::stimulus_887,This brain response shows valence 1.67 and arousal 6.78.
sub-01::stimulus_888,This brain response shows valence 2.89 and arousal 5.11.
sub-01::stimulus_889,This brain response shows valence 2.33 and arousal 6.11.
sub-01::stimulus_890,This brain response shows valence 3.67 and arousal 7.22.
sub-01::stimulus_891,This brain response shows valence 5.89 and arousal 3.89.
sub-01::stimulus_892,This brain response shows valence 7.00 and arousal 5.89.
sub-01::stimulus_893,This brain response shows valence 6.11 and arousal 5.56.
sub-01::stimulus_894,This brain response shows valence 7.11 and arousal 6.33.
sub-01::stimulus_895,This brain response shows valence 3.89 and arousal 6.33.
sub-01::stimulus_896,This brain response shows valence 7.11 and arousal 6.00.
sub-01::stimulus_897,This brain response shows valence 7.67 and arousal 6.56.
sub-01::stimulus_898,This brain response shows valence 7.78 and arousal 5.67.
sub-01::stimulus_899,This brain response shows valence 7.00 and arousal 7.22.
sub-01::stimulus_900,This brain response shows valence 5.33 and arousal 7.89.
sub-01::stimulus_901,This brain response shows valence 4.67 and arousal 5.33.
sub-01::stimulus_902,This brain response shows valence 6.67 and arousal 5.00.
sub-01::stimulus_903,This brain response shows valence 5.78 and arousal 5.56.
sub-01::stimulus_904,This brain response shows valence 6.78 and arousal 4.11.
sub-01::stimulus_905,This brain response shows valence 1.67 and arousal 5.44.
sub-01::stimulus_906,This brain response shows valence 6.89 and arousal 6.00.
sub-01::stimulus_907,This brain response shows valence 3.67 and arousal 5.67.
sub-01::stimulus_908,This brain response shows valence 4.33 and arousal 5.89.
sub-01::stimulus_909,This brain response shows valence 3.00 and arousal 4.89.
sub-01::stimulus_910,This brain response shows valence 5.00 and arousal 4.56.
sub-01::stimulus_911,This brain response shows valence 2.33 and arousal 4.11.
sub-01::stimulus_912,This brain response shows valence 6.56 and arousal 4.78.
sub-01::stimulus_913,This brain response shows valence 3.67 and arousal 5.44.
sub-01::stimulus_914,This brain response shows valence 2.44 and arousal 5.44.
sub-01::stimulus_915,This brain response shows valence 8.00 and arousal 6.56.
sub-01::stimulus_916,This brain response shows valence 6.78 and arousal 6.89.
sub-01::stimulus_917,This brain response shows valence 5.33 and arousal 4.67.
sub-01::stimulus_918,This brain response shows valence 8.00 and arousal 5.89.
sub-01::stimulus_919,This brain response shows valence 7.22 and arousal 6.56.
sub-01::stimulus_920,This brain response shows valence 6.89 and arousal 6.78.
sub-01::stimulus_921,This brain response shows valence 7.78 and arousal 7.67.
sub-01::stimulus_922,This brain response shows valence 6.56 and arousal 6.33.
sub-01::stimulus_923,This brain response shows valence 8.78 and arousal 7.11.
sub-01::stimulus_924,This brain response shows valence 4.67 and arousal 3.78.
sub-01::stimulus_925,This brain response shows valence 1.67 and arousal 6.11.
sub-01::stimulus_926,This brain response shows valence 2.22 and arousal 4.89.
sub-01::stimulus_927,This brain response shows valence 7.67 and arousal 5.67.
sub-01::stimulus_928,This brain response shows valence 6.11 and arousal 5.00.
sub-01::stimulus_929,This brain response shows valence 2.78 and arousal 5.44.
sub-01::stimulus_930,This brain response shows valence 5.89 and arousal 6.89.
sub-01::stimulus_931,This brain response shows valence 8.11 and arousal 6.22.
sub-01::stimulus_932,This brain response shows valence 8.11 and arousal 6.89.
sub-01::stimulus_933,This brain response shows valence 5.89 and arousal 7.00.
sub-01::stimulus_934,This brain response shows valence 7.11 and arousal 5.44.
sub-01::stimulus_935,This brain response shows valence 2.11 and arousal 7.67.
sub-01::stimulus_936,This brain response shows valence 6.78 and arousal 6.33.
sub-01::stimulus_937,This brain response shows valence 1.89 and arousal 5.78.
sub-01::stimulus_938,This brain response shows valence 4.78 and arousal 5.56.
sub-01::stimulus_939,This brain response shows valence 3.67 and arousal 3.78.
sub-01::stimulus_940,This brain response shows valence 2.22 and arousal 5.33.
sub-01::stimulus_941,This brain response shows valence 5.33 and arousal 6.78.
sub-01::stimulus_942,This brain response shows valence 6.00 and arousal 7.00.
sub-01::stimulus_943,This brain response shows valence 7.56 and arousal 5.00.
sub-01::stimulus_944,This brain response shows valence 7.00 and arousal 6.67.
sub-01::stimulus_945,This brain response shows valence 5.89 and arousal 5.89.
sub-01::stimulus_946,This brain response shows valence 6.00 and arousal 6.56.
sub-01::stimulus_947,This brain response shows valence 4.67 and arousal 6.44.
sub-01::stimulus_948,This brain response shows valence 2.56 and arousal 6.00.
sub-01::stimulus_949,This brain response shows valence 5.33 and arousal 7.44.
sub-01::stimulus_950,This brain response shows valence 5.22 and arousal 6.11.
sub-01::stimulus_951,This brain response shows valence 5.44 and arousal 5.56.
sub-01::stimulus_952,This brain response shows valence 4.78 and arousal 6.33.
sub-01::stimulus_953,This brain response shows valence 5.67 and arousal 5.00.
sub-01::stimulus_954,This brain response shows valence 6.78 and arousal 6.00.
sub-01::stimulus_955,This brain response shows valence 3.00 and arousal 5.00.
sub-01::stimulus_956,This brain response shows valence 2.78 and arousal 3.33.
sub-01::stimulus_957,This brain response shows valence 5.67 and arousal 5.33.
sub-01::stimulus_958,This brain response shows valence 1.78 and arousal 5.33.
sub-01::stimulus_959,This brain response shows valence 5.56 and arousal 5.67.
sub-01::stimulus_960,This brain response shows valence 7.00 and arousal 5.89.
sub-01::stimulus_961,This brain response shows valence 7.67 and arousal 6.78.
sub-01::stimulus_962,This brain response shows valence 3.22 and arousal 7.11.
sub-01::stimulus_963,This brain response shows valence 7.78 and arousal 6.67.
sub-01::stimulus_964,This brain response shows valence 7.00 and arousal 6.67.
sub-01::stimulus_965,This brain response shows valence 1.78 and arousal 6.44.
sub-01::stimulus_966,This brain response shows valence 7.44 and arousal 5.33.
sub-01::stimulus_967,This brain response shows valence 6.89 and arousal 5.67.
sub-01::stimulus_968,This brain response shows valence 2.56 and arousal 4.78.
sub-01::stimulus_969,This brain response shows valence 6.00 and arousal 6.22.
sub-01::stimulus_970,This brain response shows valence 6.00 and arousal 6.56.
sub-01::stimulus_971,This brain response shows valence 1.67 and arousal 6.89.
sub-01::stimulus_972,This brain response shows valence 8.11 and arousal 6.56.
sub-01::stimulus_973,This brain response shows valence 2.89 and arousal 6.78.
sub-01::stimulus_974,This brain response shows valence 6.67 and arousal 6.67.
sub-01::stimulus_975,This brain response shows valence 3.22 and arousal 5.11.
sub-01::stimulus_976,This brain response shows valence 3.89 and arousal 6.44.
sub-01::stimulus_977,This brain response shows valence 2.78 and arousal 6.11.
sub-01::stimulus_978,This brain response shows valence 7.33 and arousal 5.78.
sub-01::stimulus_979,This brain response shows valence 4.22 and arousal 5.33.
sub-01::stimulus_980,This brain response shows valence 6.89 and arousal 6.67.
sub-01::stimulus_981,This brain response shows valence 6.89 and arousal 6.11.
sub-01::stimulus_982,This brain response shows valence 7.11 and arousal 7.00.
sub-01::stimulus_983,This brain response shows valence 5.78 and arousal 6.11.
sub-01::stimulus_984,This brain response shows valence 6.56 and arousal 5.89.
sub-01::stimulus_985,This brain response shows valence 4.78 and arousal 7.00.
sub-01::stimulus_986,This brain response shows valence 4.11 and arousal 7.22.
sub-01::stimulus_987,This brain response shows valence 6.00 and arousal 5.56.
sub-01::stimulus_988,This brain response shows valence 4.22 and arousal 5.67.
sub-01::stimulus_989,This brain response shows valence 3.22 and arousal 4.00.
sub-01::stimulus_990,This brain response shows valence 4.78 and arousal 5.89.
sub-01::stimulus_991,This brain response shows valence 1.00 and arousal 3.67.
sub-01::stimulus_992,This brain response shows valence 8.22 and arousal 7.22.
sub-01::stimulus_993,This brain response shows valence 7.78 and arousal 6.33.
sub-01::stimulus_994,This brain response shows valence 3.33 and arousal 5.56.
sub-01::stimulus_995,This brain response shows valence 6.00 and arousal 5.00.
sub-01::stimulus_996,This brain response shows valence 7.67 and arousal 7.11.
sub-01::stimulus_997,This brain response shows valence 8.33 and arousal 8.67.
sub-01::stimulus_998,This brain response shows valence 6.11 and arousal 4.89.
sub-01::stimulus_999,This brain response shows valence 2.78 and arousal 2.89.
sub-01::stimulus_1000,This brain response shows valence 7.33 and arousal 6.11.
sub-01::stimulus_1001,This brain response shows valence 3.44 and arousal 5.78.
sub-01::stimulus_1002,This brain response shows valence 7.11 and arousal 6.00.
sub-01::stimulus_1003,This brain response shows valence 5.89 and arousal 4.00.
sub-01::stimulus_1004,This brain response shows valence 1.56 and arousal 4.56.
sub-01::stimulus_1005,This brain response shows valence 7.78 and arousal 5.33.
sub-01::stimulus_1006,This brain response shows valence 6.67 and arousal 5.33.
sub-01::stimulus_1007,This brain response shows valence 7.78 and arousal 6.56.
sub-01::stimulus_1008,This brain response shows valence 7.22 and arousal 8.56.
sub-01::stimulus_1009,This brain response shows valence 7.89 and arousal 5.89.
sub-01::stimulus_1010,This brain response shows valence 3.78 and arousal 5.11.
sub-01::stimulus_1011,This brain response shows valence 5.89 and arousal 6.00.
sub-01::stimulus_1012,This brain response shows valence 7.56 and arousal 5.89.
sub-01::stimulus_1013,This brain response shows valence 6.56 and arousal 5.22.
sub-01::stimulus_1014,This brain response shows valence 2.00 and arousal 7.00.
sub-01::stimulus_1015,This brain response shows valence 1.89 and arousal 5.33.
sub-01::stimulus_1016,This brain response shows valence 8.00 and arousal 3.56.
sub-01::stimulus_1017,This brain response shows valence 4.89 and arousal 5.78.
sub-01::stimulus_1018,This brain response shows valence 6.78 and arousal 4.44.
sub-01::stimulus_1019,This brain response shows valence 1.89 and arousal 5.33.
sub-01::stimulus_1020,This brain response shows valence 5.22 and arousal 6.44.
sub-01::stimulus_1021,This brain response shows valence 3.00 and arousal 5.78.
sub-01::stimulus_1022,This brain response shows valence 6.56 and arousal 4.33.
sub-01::stimulus_1023,This brain response shows valence 5.67 and arousal 5.33.
sub-01::stimulus_1024,This brain response shows valence 4.78 and arousal 4.56.
sub-01::stimulus_1025,This brain response shows valence 7.11 and arousal 5.78.
sub-01::stimulus_1026,This brain response shows valence 1.44 and arousal 5.89.
sub-01::stimulus_1027,This brain response shows valence 4.00 and arousal 5.33.
sub-01::stimulus_1028,This brain response shows valence 4.11 and arousal 5.56.
sub-01::stimulus_1029,This brain response shows valence 7.11 and arousal 5.67.
sub-01::stimulus_1030,This brain response shows valence 5.78 and arousal 5.56.
sub-01::stimulus_1031,This brain response shows valence 6.78 and arousal 5.22.
sub-01::stimulus_1032,This brain response shows valence 8.22 and arousal 5.89.
sub-01::stimulus_1033,This brain response shows valence 5.78 and arousal 5.56.
sub-01::stimulus_1034,This brain response shows valence 8.33 and arousal 5.89.
sub-01::stimulus_1035,This brain response shows valence 5.33 and arousal 5.22.
sub-01::stimulus_1036,This brain response shows valence 6.22 and arousal 6.00.
sub-01::stimulus_1037,This brain response shows valence 3.56 and arousal 6.33.
sub-01::stimulus_1038,This brain response shows valence 7.33 and arousal 7.89.
sub-01::stimulus_1039,This brain response shows valence 6.56 and arousal 6.56.
sub-01::stimulus_1040,This brain response shows valence 6.22 and arousal 6.78.
sub-01::stimulus_1041,This brain response shows valence 4.78 and arousal 5.56.
sub-01::stimulus_1042,This brain response shows valence 2.33 and arousal 6.67.
sub-01::stimulus_1043,This brain response shows valence 7.56 and arousal 6.78.
sub-01::stimulus_1044,This brain response shows valence 2.56 and arousal 4.89.
sub-01::stimulus_1045,This brain response shows valence 7.67 and arousal 5.56.
sub-01::stimulus_1046,This brain response shows valence 5.44 and arousal 5.78.
sub-01::stimulus_1047,This brain response shows valence 7.67 and arousal 6.44.
sub-01::stimulus_1048,This brain response shows valence 8.11 and arousal 6.56.
sub-01::stimulus_1049,This brain response shows valence 6.56 and arousal 5.00.
sub-01::stimulus_1050,This brain response shows valence 7.44 and arousal 6.00.
sub-01::stimulus_1051,This brain response shows valence 6.89 and arousal 7.11.
sub-01::stimulus_1052,This brain response shows valence 3.11 and arousal 5.56.
sub-01::stimulus_1053,This brain response shows valence 6.89 and arousal 6.11.
sub-01::stimulus_1054,This brain response shows valence 6.22 and arousal 6.89.
sub-01::stimulus_1055,This brain response shows valence 6.33 and arousal 5.56.
sub-01::stimulus_1056,This brain response shows valence 7.11 and arousal 6.67.
sub-01::stimulus_1057,This brain response shows valence 3.44 and arousal 6.22.
sub-01::stimulus_1058,This brain response shows valence 6.00 and arousal 6.11.
sub-01::stimulus_1059,This brain response shows valence 6.67 and arousal 5.67.
sub-01::stimulus_1060,This brain response shows valence 7.33 and arousal 6.00.
sub-01::stimulus_1061,This brain response shows valence 7.67 and arousal 6.11.
sub-01::stimulus_1062,This brain response shows valence 7.00 and arousal 5.44.
sub-01::stimulus_1063,This brain response shows valence 6.22 and arousal 6.33.
sub-01::stimulus_1064,This brain response shows valence 4.89 and arousal 4.33.
